"","ID","Timepoint","Aquaria","Tank","Species","Treatment","Temperature","TN","TP","Phosphate","Silicate","N.N","Ammonia","TIN","N_to_P","TIN_to_PO4"
"42",42,"T2","M-H3","Aquaria","Montipora","Guano","Heated",14.35,2.39,2.26,2.87,0.43,0.96,1.39,6.00418410041841,0.615044247787611
"43",43,"T2","P-Dosing","Dosing","Porites","Guano","Ambient",59.52,9.2,9.16,8.09,1.86,52.93,54.79,6.46956521739131,5.98144104803493
"44",44,"T2","M-Dosing","Dosing","Montipora","Guano","Ambient",59.34,7.56,7.27,2.05,1.93,38.05,39.98,7.84920634920635,5.49931224209078
"45",45,"T3","P-A3","Aquaria","Porites","Guano","Ambient",10.58,0.46,0.27,1.18,0.4,1.07,1.47,23,5.44444444444444
"46",46,"T3","M-A3","Aquaria","Montipora","Guano","Ambient",12.96,0.49,0.27,1.22,0.59,1.07,1.66,26.4489795918367,6.14814814814815
"47",47,"T3","M-Dosing","Dosing","Montipora","Guano","Ambient",62.81,6.04,5.96,5.21,1.66,59.16,60.82,10.3990066225166,10.2046979865772
"48",48,"T3","P-Dosing","Dosing","Porites","Guano","Ambient",62.81,6.04,5.96,5.21,1.66,59.16,60.82,10.3990066225166,10.2046979865772
"49",49,"T1","P-A7","Aquaria","Porites","Inorganic","Ambient",6.6,0.11,0.03,0.69,0.33,0.61,0.94,60,31.3333333333333
"50",50,"T1","P-H7","Aquaria","Porites","Inorganic","Heated",11.11,0.22,0.06,1.39,0.63,0.53,1.16,50.5,19.3333333333333
"51",51,"T1","M-A7","Aquaria","Montipora","Inorganic","Ambient",10.02,0.15,0.03,1.12,0.6,1.17,1.77,66.8,59
"52",52,"T1","M-H7","Aquaria","Montipora","Inorganic","Heated",7.05,0.16,0.03,0.65,0.39,0.6,0.99,44.0625,33
"53",53,"T1","P-Dosing","Dosing","Porites","Inorganic","Ambient",31.79,0.78,0.69,7.31,1.09,23.44,24.53,40.7564102564103,35.5507246376812
"54",54,"T1","M-Dosing","Dosing","Montipora","Inorganic","Ambient",24.37,0.84,0.81,4.22,0.54,20.54,21.08,29.0119047619048,26.0246913580247
"55",55,"T2","P-A7","Aquaria","Porites","Inorganic","Ambient",9.38,0.18,0.03,0.23,0.53,0.78,1.31,52.1111111111111,43.6666666666667
"56",56,"T2","P-H7","Aquaria","Porites","Inorganic","Heated",12.74,0.12,0.008,0.7,0.37,0.63,1,106.166666666667,125
"57",57,"T2","M-A7","Aquaria","Montipora","Inorganic","Ambient",8.47,0.15,0.03,0.87,0.25,0.75,1,56.4666666666667,33.3333333333333
"58",58,"T2","M-H7","Aquaria","Montipora","Inorganic","Heated",10.31,0.21,0.06,5.17,0.39,0.76,1.15,49.0952380952381,19.1666666666667
"59",59,"T2","P-Dosing","Dosing","Porites","Inorganic","Ambient",37.64,1.12,0.91,4.03,0.009,18.67,18.679,33.6071428571429,20.5263736263736
"60",60,"T2","M-Dosing","Dosing","Montipora","Inorganic","Ambient",29.94,0.77,0.49,4.19,2,18.27,20.27,38.8831168831169,41.3673469387755
"61",61,"T3","P-A7","Aquaria","Porites","Inorganic","Ambient",7.58,0.15,0.06,0.67,0.34,1.18,1.52,50.5333333333333,25.3333333333333
"62",62,"T3","M-A7","Aquaria","Montipora","Inorganic","Ambient",11.23,0.23,0.05,1.52,0.57,0.85,1.42,48.8260869565217,28.4
"63",63,"T3","M-Dosing","Dosing","Montipora","Inorganic","Ambient",29.84,0.7,0.61,3.91,1.48,19.46,20.94,42.6285714285714,34.327868852459
"64",64,"T3","P-Dosing","Dosing","Porites","Inorganic","Ambient",29.84,0.7,0.61,3.91,1.48,19.46,20.94,42.6285714285714,34.327868852459
