"","Frag_ID","Species","Genotype","Timepoint","Treatment","Temperature","Trt_temp","Squares_counted.1mm2","Total.blastate.ml","rep1","rep2","rep3","rep4","Mean.cells","Stdev","StError","CV","Cells.mm2","Cells.ml","Total.cells","Surface_area.cm2","AFDW_gdw","Symb_density.cells..cm2","Symb_density.cells..gdw","Log_Symb_density.cells..gdw","Facet"
"115","M-8-17","Montipora","8","T3","Effluent","Ambient","e-a",1,25,133,99,143,102,119.25,22.1,11.03,18.5,119.25,1192500,29812500,43.08107345,0.14,692009.219189964,212946428.571429,8.32827036070595,"Montipora - Recovery Period"
"116","M-8-22","Montipora","8","T3","Control","Heated","c-h",2,25,95,149,102,136,120.5,26.1,13.05,21.67,60.25,602500,15062500,31.06779661,0.09,484826.786691134,167361111.111111,8.22365455047962,"Montipora - Recovery Period"
"117","M-8-23","Montipora","8","T3","Inorganic","Heated","i-h",1,25,78,87,84,73,80.5,6.2,3.12,7.76,80.5,805000,20125000,29.37344633,0.1,685142.620784192,201250000,8.30373588903991,"Montipora - Recovery Period"
"118","M-8-24","Montipora","8","T3","Guano","Heated","g-h",1,25,144,86,111,106,111.75,24.1,12.03,21.53,111.75,1117500,27937500,26.20169492,0.0975,1066247.81661262,286538461.538462,8.45718292477748,"Montipora - Recovery Period"
"119","M-8-25","Montipora","8","T3","Effluent","Heated","e-h",1,25,106,93,97,144,110,23.3,11.65,21.19,110,1100000,27500000,27.95988701,0.1075,983551.900269285,255813953.488372,8.40792422957864,"Montipora - Recovery Period"
"120","P-1-2","Porites","1","T3","Control","Ambient","c-a",4,25,94,80,85,80,84.75,6.6,3.3,7.79,21.19,211875,5296875,12.37146341,0.035,428152.662660625,151339285.714286,8.17995167986892,"Porites - Recovery Period"
"121","P-1-7","Porites","1","T3","Inorganic","Ambient","i-a",2,25,111,94,82,110,99.25,13.9,6.94,13.99,49.63,496250,12406250,15.92390244,0.06,779096.081927515,206770833.333333,8.31548927805957,"Porites - Recovery Period"
"122","P-1-12","Porites","1","T3","Guano","Ambient","g-a",1,25,84,92,69,77,80.5,9.8,4.91,12.19,80.5,805000,20125000,19.6502439,0.09,1024160.31589308,223611111.111111,8.34949337960058,"Porites - Recovery Period"
"123","P-1-17","Porites","1","T3","Effluent","Ambient","e-a",2,25,143,156,120,147,141.5,15.3,7.66,10.83,70.75,707500,17687500,13.32073171,0.08,1327817.44915122,221093750,8.34457646587642,"Porites - Recovery Period"
"124","P-1-22","Porites","1","T3","Control","Heated","c-h",2,25,115,86,107,93,100.25,13.1,6.57,13.12,50.13,501250,12531250,17.36658537,0.09,721572.475706547,139236111.111111,8.14375188486095,"Porites - Recovery Period"
"125","P-1-23","Porites","1","T3","Inorganic","Heated","i-h",4,25,52,49,32,52,46.25,9.6,4.8,20.77,11.56,115625,2890625,22.95926829,0.0875,125902.313762282,33035714.2857143,7.51898370139681,"Porites - Recovery Period"
"126","P-1-24","Porites","1","T3","Guano","Heated","g-h",2,25,103,97,127,109,109,13,6.48,11.89,54.5,545000,13625000,31.16926829,0.1675,437129.286232596,81343283.5820895,7.91032169957582,"Porites - Recovery Period"
"127","P-3-2","Porites","3","T3","Control","Ambient","c-a",2,25,96,66,76,72,77.5,13,6.5,16.77,38.75,387500,9687500,19.42829268,0.0625,498628.477528165,1.55e+08,8.19033169817029,"Porites - Recovery Period"
"128","P-3-7","Porites","3","T3","Inorganic","Ambient","i-a",2,25,132,128,127,112,124.75,8.8,4.39,7.03,62.38,623750,15593750,22.63292683,0.0775,688985.128486805,201209677.419355,8.30364886479717,"Porites - Recovery Period"
"129","P-3-12","Porites","3","T3","Guano","Ambient","g-a",1,25,84,93,107,107,97.75,11.3,5.65,11.56,97.75,977500,24437500,26.6202439,0.095,918004.361334946,257236842.105263,8.41033316945109,"Porites - Recovery Period"
"130","P-3-17","Porites","3","T3","Effluent","Ambient","e-a",2,25,97,116,79,124,104,20.1,10.07,19.37,52,520000,1.3e+07,13.57317073,0.0625,957771.788080942,2.08e+08,8.31806333496276,"Porites - Recovery Period"
"131","P-3-23","Porites","3","T3","Inorganic","Heated","i-h",4,25,31,40,31,27,32.25,5.5,2.75,17.05,8.06,80625,2015625,21.02585366,0.0725,95864.1219801965,27801724.137931,7.44407172974437,"Porites - Recovery Period"
"132","P-6-2","Porites","6","T3","Control","Ambient","c-a",1,25,75,61,57,60,63.25,8,4.01,12.67,63.25,632500,15812500,8.317804878,0.0525,1901042.43029587,301190476.190476,8.47884123511394,"Porites - Recovery Period"
"133","P-6-7","Porites","6","T3","Inorganic","Ambient","i-a",1,25,63,97,104,77,85.25,18.7,9.37,21.97,85.25,852500,21312500,16.53219512,0.075,1289151.24974644,284166666.666667,8.45357313294487,"Porites - Recovery Period"
"134","P-6-12","Porites","6","T3","Guano","Ambient","g-a",2,25,124,124,120,112,120,5.7,2.83,4.71,60,6e+05,1.5e+07,14.3297561,0.065,1046772.87563883,230769230.769231,8.36317790241283,"Porites - Recovery Period"
"135","P-6-17","Porites","6","T3","Effluent","Ambient","e-a",1,25,99,119,124,119,115.25,11.1,5.54,9.62,115.25,1152500,28812500,21.81756098,0.075,1320610.49474835,384166666.666667,8.58451967934202,"Porites - Recovery Period"
"136","P-6-23","Porites","6","T3","Inorganic","Heated","i-h",4,25,95,97,109,111,103,8.2,4.08,7.93,25.75,257500,6437500,21.88512195,0.0525,294149.606052344,122619047.619048,8.08855793864329,"Porites - Recovery Period"
"137","P-6-15","Porites","6","T3","Guano","Heated","g-h",4,25,19,25,26,22,23,3.2,1.58,13.75,5.75,57500,1437500,18.14487805,0.03,79223.458875768,47916666.6666667,7.68048659864201,"Porites - Recovery Period"
"138","P-6-25","Porites","6","T3","Effluent","Heated","e-h",2,25,73,64,72,87,74,9.6,4.78,12.91,37,370000,9250000,22.42682927,0.0475,412452.419761967,194736842.105263,8.28944812311417,"Porites - Recovery Period"
"139","P-8-2","Porites","8","T3","Control","Ambient","c-a",1,25,84,95,73,72,81,10.8,5.4,13.33,81,810000,20250000,13.02829268,0.0875,1554309.57051542,231428571.428571,8.36441697452837,"Porites - Recovery Period"
"140","P-8-7","Porites","8","T3","Inorganic","Ambient","i-a",1,25,93,84,90,99,91.5,6.2,3.12,6.83,91.5,915000,22875000,20.70219512,0.0925,1104955.28939832,247297297.297297,8.39321936999945,"Porites - Recovery Period"
"141","P-8-12","Porites","8","T3","Guano","Ambient","g-a",1,25,92,87,118,107,101,14.2,7.08,14.03,101,1010000,25250000,23.25536585,0.095,1085770.92112271,265789473.684211,8.42453777716583,"Porites - Recovery Period"
"142","P-8-17","Porites","8","T3","Effluent","Ambient","e-a",1,25,76,80,86,103,86.25,11.9,5.95,13.8,86.25,862500,21562500,13.50682927,0.085,1596414.64099146,253676470.588235,8.40428018670306,"Porites - Recovery Period"
"143","P-8-22","Porites","8","T3","Control","Heated","c-h",4,25,91,133,93,114,107.75,19.8,9.89,18.37,26.94,269375,6734375,32.41902439,0.075,207729.107421175,89791666.6666667,7.95323603278514,"Porites - Recovery Period"
"144","P-8-23","Porites","8","T3","Inorganic","Heated","i-h",4,25,32,23,33,35,30.75,5.3,2.66,17.28,7.69,76875,1921875,26.54268293,0.04,72406.9607080975,48046875,7.68166514612755,"Porites - Recovery Period"
"145","P-8-25","Porites","8","T3","Effluent","Heated","e-h",4,25,15,13,10,15,13.25,2.4,1.18,17.83,3.31,33125,828125,19.72195122,0.035,41990.013602721,23660714.2857143,7.37402785126663,"Porites - Recovery Period"
"146","P-9-2","Porites","9","T3","Control","Ambient","c-a",2,25,130,96,146,130,125.5,21.1,10.53,16.78,62.75,627500,15687500,7.19804878,0.065,2179410.0706275,241346153.846154,8.38264038218226,"Porites - Recovery Period"
"147","P-9-7","Porites","9","T3","Inorganic","Ambient","i-a",1,25,90,79,90,115,93.5,15.2,7.62,16.3,93.5,935000,23375000,10.87487805,0.0875,2149449.39083708,267142857.142857,8.42674356652224,"Porites - Recovery Period"
"148","P-9-12","Porites","9","T3","Guano","Ambient","g-a",2,25,115,89,92,94,97.5,11.8,5.92,12.15,48.75,487500,12187500,17.98804878,0.07,677533.186009072,174107142.857143,8.24081658869234,"Porites - Recovery Period"
"149","P-9-17","Porites","9","T3","Effluent","Ambient","e-a",2,25,113,89,72,88,90.5,16.9,8.45,18.68,45.25,452500,11312500,15.43878049,0.0525,732732.74448894,215476190.47619,8.3333992888073,"Porites - Recovery Period"
"150","P-9-22","Porites","9","T3","Control","Heated","c-h",4,25,69,55,71,40,58.75,14.4,7.19,24.48,14.69,146875,3671875,13.35512195,0.0725,274941.330655539,50646551.7241379,7.70454988171686,"Porites - Recovery Period"
"151","P-9-10","Porites","9","T3","Inorganic","Heated","i-h",4,25,32,35,39,35,35.25,2.9,1.44,8.15,8.81,88125,2203125,27.58902439,0.09,79855.1253156509,24479166.6666667,7.38879662923217,"Porites - Recovery Period"
"152","P-9-25","Porites","9","T3","Effluent","Heated","e-h",4,25,72,85,84,60,75.25,11.8,5.88,15.63,18.81,188125,4703125,20.72658537,0.0475,226912.678381041,99013157.8947368,7.99569291198509,"Porites - Recovery Period"
