Frag_ID,Species,Genotype,Timepoint,Treatment,Temperature,Slurry Aliquot (ml),Vol,pan,pan_drymass,drymass,pan_burned_mass,AFDW_g.ml,AFDW_gdw
P-5-8,Porites,5,T1,Inorganic,Ambient,1,25,0.4152,0.4205,0.0053,0.4183,0.0031,0.055
P-6-8,Porites,6,T1,Inorganic,Ambient,1,25,0.4262,0.4302,0.004,0.4281,0.0019,0.0525
P-7-8,Porites,7,T1,Inorganic,Ambient,1,25,0.4223,0.426,0.0037,0.4242,0.0019,0.045
P-8-8,Porites,8,T1,Inorganic,Ambient,1,25,0.4217,0.4354,0.0137,0.4281,0.0064,0.1825
P-9-8,Porites,9,T1,Inorganic,Ambient,1,30,0.4256,0.4295,0.0039,0.4273,0.0017,0.066
P-1-26,Porites,1,T2,Control,Ambient,1,25,0.4189,0.4269,0.008,0.4226,0.0037,0.1075
P-2-26,Porites,2,T2,Control,Ambient,1,25,0.4219,0.4274,0.0055,0.4243,0.0024,0.0775
P-3-26,Porites,3,T2,Control,Ambient,1,25,0.4206,0.4259,0.0053,0.4228,0.0022,0.0775
P-4-26,Porites,4,T2,Control,Ambient,1,25,0.419,0.4237,0.0047,0.4212,0.0022,0.0625
P-5-26,Porites,5,T2,Control,Ambient,1,25,0.4163,0.4215,0.0052,0.4183,0.002,0.08
P-6-26,Porites,6,T2,Control,Ambient,1,25,0.4179,0.4258,0.0079,0.4215,0.0036,0.1075
P-7-26,Porites,7,T2,Control,Ambient,1,25,0.4146,0.4207,0.0061,0.4171,0.0025,0.09
P-8-26,Porites,8,T2,Control,Ambient,1,25,0.4184,0.4225,0.0041,0.4199,0.0015,0.065
P-9-26,Porites,9,T2,Control,Ambient,1,25,0.4224,0.4269,0.0045,0.4251,0.0027,0.045
P-1-29,Porites,1,T2,Effluent,Ambient,1,25,0.4217,0.4312,0.0095,0.4258,0.0041,0.135
P-2-29,Porites,2,T2,Effluent,Ambient,1,25,0.4209,0.4303,0.0094,0.4256,0.0047,0.1175
P-3-29,Porites,3,T2,Effluent,Ambient,1,25,0.4228,0.4248,0.002,0.4235,0.0007,0.0325
P-4-29,Porites,4,T2,Effluent,Ambient,1,25,0.4262,0.4333,0.0071,0.429,0.0028,0.1075
P-5-29,Porites,5,T2,Effluent,Ambient,1,25,0.4176,0.4259,0.0083,0.4214,0.0038,0.1125
P-6-29,Porites,6,T2,Effluent,Ambient,1,25,0.4157,0.4252,0.0095,0.4203,0.0046,0.1225
P-7-29,Porites,7,T2,Effluent,Ambient,1,25,0.4135,0.4195,0.006,0.4163,0.0028,0.08
P-8-29,Porites,8,T2,Effluent,Ambient,1,25,0.4199,0.4305,0.0106,0.4241,0.0042,0.16
P-9-29,Porites,9,T2,Effluent,Ambient,1,25,0.4103,0.4161,0.0058,0.4124,0.0021,0.0925
P-1-28,Porites,1,T2,Guano,Ambient,1,30,0.4234,0.4297,0.0063,0.4261,0.0027,0.108
P-2-28,Porites,2,T2,Guano,Ambient,1,25,0.4207,0.4301,0.0094,0.4248,0.0041,0.1325
P-3-28,Porites,3,T2,Guano,Ambient,1,25,0.4201,0.4283,0.0082,0.4239,0.0038,0.11
P-4-28,Porites,4,T2,Guano,Ambient,1,25,0.4185,0.4306,0.0121,0.4237,0.0052,0.1725
P-5-28,Porites,5,T2,Guano,Ambient,1,30,0.4218,0.4278,0.006,0.4246,0.0028,0.096
P-6-28,Porites,6,T2,Guano,Ambient,1,25,0.4235,0.4298,0.0063,0.4262,0.0027,0.09
P-7-28,Porites,7,T2,Guano,Ambient,1,25,0.4181,0.4232,0.0051,0.4204,0.0023,0.07
P-8-28,Porites,8,T2,Guano,Ambient,1,25,0.4161,0.426,0.0099,0.42,0.0039,0.15
P-9-28,Porites,9,T2,Guano,Ambient,1,25,0.4181,0.425,0.0069,0.4208,0.0027,0.105
P-1-27,Porites,1,T2,Inorganic,Ambient,1,25,0.4179,0.4335,0.0156,0.4245,0.0066,0.225
P-2-27,Porites,2,T2,Inorganic,Ambient,1,30,0.4225,0.4318,0.0093,0.4263,0.0038,0.165
P-3-27,Porites,3,T2,Inorganic,Ambient,1,25,0.419,0.4252,0.0062,0.4216,0.0026,0.09
P-4-27,Porites,4,T2,Inorganic,Ambient,1,25,0.4226,0.4289,0.0063,0.4251,0.0025,0.095
P-5-27,Porites,5,T2,Inorganic,Ambient,1,30,0.4205,0.4285,0.008,0.4237,0.0032,0.144
P-6-27,Porites,6,T2,Inorganic,Ambient,1,25,0.4238,0.4357,0.0119,0.4292,0.0054,0.1625
P-7-27,Porites,7,T2,Inorganic,Ambient,1,25,0.4175,0.4231,0.0056,0.4196,0.0021,0.0875
P-8-27,Porites,8,T2,Inorganic,Ambient,1,25,0.421,0.4283,0.0073,0.4242,0.0032,0.1025
P-9-27,Porites,9,T2,Inorganic,Ambient,1,25,0.4224,0.4273,0.0049,0.4242,0.0018,0.0775
P-1-4,Porites,1,T2,Control,Heated,1,25,0.4178,0.4227,0.0049,0.42,0.0022,0.0675
P-2-30,Porites,2,T2,Control,Heated,1,25,0.4249,0.4315,0.0066,0.4278,0.0029,0.0925
P-3-4,Porites,3,T2,Control,Heated,1,25,0.4194,0.4252,0.0058,0.4222,0.0028,0.075
P-4-4,Porites,4,T2,Control,Heated,1,25,0.4228,0.4287,0.0059,0.4253,0.0025,0.085
P-5-4,Porites,5,T2,Control,Heated,1,25,0.4215,0.4274,0.0059,0.4238,0.0023,0.09
P-6-4,Porites,6,T2,Control,Heated,1,25,0.4171,0.4256,0.0085,0.4208,0.0037,0.12
P-7-30,Porites,7,T2,Control,Heated,1,25,0.411,0.4163,0.0053,0.4133,0.0023,0.075
P-8-4,Porites,8,T2,Control,Heated,1,25,0.4157,0.4258,0.0101,0.4207,0.005,0.1275
P-9-4,Porites,9,T2,Control,Heated,1,25,0.4117,0.4152,0.0035,0.4131,0.0014,0.0525
P-1-19,Porites,1,T2,Effluent,Heated,1,25,0.4184,0.424,0.0056,0.4211,0.0027,0.0725
P-2-19,Porites,2,T2,Effluent,Heated,1,25,0.4159,0.4212,0.0053,0.4182,0.0023,0.075
P-3-19,Porites,3,T2,Effluent,Heated,1,25,0.4118,0.4166,0.0048,0.4142,0.0024,0.06
P-4-19,Porites,4,T2,Effluent,Heated,1,25,0.4193,0.4226,0.0033,0.4205,0.0012,0.0525
P-5-30,Porites,5,T2,Effluent,Heated,1,25,0.426,0.4339,0.0079,0.4307,0.0047,0.08
P-6-19,Porites,6,T2,Effluent,Heated,1,25,0.4118,0.4173,0.0055,0.4143,0.0025,0.075
P-7-19,Porites,7,T2,Effluent,Heated,1,25,0.411,0.4158,0.0048,0.4128,0.0018,0.075
P-8-19,Porites,8,T2,Effluent,Heated,1,25,0.4175,0.4249,0.0074,0.4209,0.0034,0.1
P-9-19,Porites,9,T2,Effluent,Heated,1,25,0.4151,0.4196,0.0045,0.4169,0.0018,0.0675
P-1-14,Porites,1,T2,Guano,Heated,1,25,0.4162,0.4242,0.008,0.42,0.0038,0.105
P-2-14,Porites,2,T2,Guano,Heated,1,25,0.419,0.4241,0.0051,0.421,0.002,0.0775
P-3-14,Porites,3,T2,Guano,Heated,1,25,0.4159,0.4222,0.0063,0.4189,0.003,0.0825
P-4-14,Porites,4,T2,Guano,Heated,1,25,0.4183,0.4224,0.0041,0.4198,0.0015,0.065
P-5-14,Porites,5,T2,Guano,Heated,1,25,0.4155,0.4209,0.0054,0.418,0.0025,0.0725
P-6-30,Porites,6,T2,Guano,Heated,1,25,0.4193,0.4299,0.0106,0.4244,0.0051,0.1375
P-7-14,Porites,7,T2,Guano,Heated,1,25,0.4201,0.4291,0.009,0.4245,0.0044,0.115
P-8-30,Porites,8,T2,Guano,Heated,1,25,0.4163,0.4217,0.0054,0.4189,0.0026,0.07
P-9-14,Porites,9,T2,Guano,Heated,1,25,0.4163,0.4262,0.0099,0.4235,0.0072,0.0675
P-1-9,Porites,1,T2,Inorganic,Heated,1,25,0.4171,0.4215,0.0044,0.4195,0.0024,0.05
P-2-9,Porites,2,T2,Inorganic,Heated,1,25,0.4159,0.4227,0.0068,0.4192,0.0033,0.0875
P-3-9,Porites,3,T2,Inorganic,Heated,1,25,0.4148,0.4198,0.005,0.4175,0.0027,0.0575
P-4-9,Porites,4,T2,Inorganic,Heated,1,25,0.4193,0.4246,0.0053,0.4216,0.0023,0.075
P-5-9,Porites,5,T2,Inorganic,Heated,1,25,0.4191,0.4235,0.0044,0.4207,0.0016,0.07
P-6-9,Porites,6,T2,Inorganic,Heated,1,25,0.4131,0.4201,0.007,0.4162,0.0031,0.0975
P-7-9,Porites,7,T2,Inorganic,Heated,1,25,0.423,0.4289,0.0059,0.4259,0.0029,0.075
P-8-9,Porites,8,T2,Inorganic,Heated,1,25,0.4242,0.4385,0.0143,0.4323,0.0081,0.155
P-9-9,Porites,9,T2,Inorganic,Heated,1,25,0.4221,0.4272,0.0051,0.4239,0.0018,0.0825
P-1-2,Porites,1,T3,Control,Ambient,1,25,0.4187,0.4213,0.0026,0.4199,0.0012,0.035
P-2-2,Porites,2,T3,Control,Ambient,1,25,0.4178,0.4232,0.0054,0.4204,0.0026,0.07
P-1-17,Porites,3,T3,Control,Ambient,1,25,0.4199,0.4258,0.0059,0.4226,0.0027,0.08
P-4-2,Porites,4,T3,Control,Ambient,1,25,0.4188,0.4239,0.0051,0.4211,0.0023,0.07
P-5-2,Porites,5,T3,Control,Ambient,1,25,0.4134,0.4205,0.0071,0.4164,0.003,0.1025
P-6-2,Porites,6,T3,Control,Ambient,1,25,0.4183,0.4222,0.0039,0.4201,0.0018,0.0525
P-7-2,Porites,7,T3,Control,Ambient,1,25,0.4179,0.4267,0.0088,0.4223,0.0044,0.11
P-8-2,Porites,8,T3,Control,Ambient,1,25,0.4244,0.431,0.0066,0.4275,0.0031,0.0875
P-9-2,Porites,9,T3,Control,Ambient,1,25,0.4164,0.4207,0.0043,0.4181,0.0017,0.065
P-3-2,Porites,1,T3,Effluent,Ambient,1,25,0.4174,0.4221,0.0047,0.4196,0.0022,0.0625
P-2-17,Porites,2,T3,Effluent,Ambient,1,25,0.4132,0.4189,0.0057,0.416,0.0028,0.0725
P-3-17,Porites,3,T3,Effluent,Ambient,1,25,0.4198,0.4243,0.0045,0.4218,0.002,0.0625
P-4-17,Porites,4,T3,Effluent,Ambient,1,25,0.4237,0.4298,0.0061,0.4262,0.0025,0.09
P-5-17,Porites,5,T3,Effluent,Ambient,1,25,0.4183,0.4239,0.0056,0.4207,0.0024,0.08
P-6-17,Porites,6,T3,Effluent,Ambient,1,25,0.4225,0.4277,0.0052,0.4247,0.0022,0.075
P-7-17,Porites,7,T3,Effluent,Ambient,1,25,0.4214,0.4258,0.0044,0.4234,0.002,0.06
P-8-17,Porites,8,T3,Effluent,Ambient,1,25,0.4215,0.4275,0.006,0.4241,0.0026,0.085
P-9-17,Porites,9,T3,Effluent,Ambient,1,25,0.4181,0.4223,0.0042,0.4202,0.0021,0.0525
P-1-12,Porites,1,T3,Guano,Ambient,1,25,0.4209,0.4284,0.0075,0.4248,0.0039,0.09
P-2-12,Porites,2,T3,Guano,Ambient,1,25,0.4219,0.4298,0.0079,0.4265,0.0046,0.0825
P-3-12,Porites,3,T3,Guano,Ambient,1,25,0.419,0.4279,0.0089,0.4241,0.0051,0.095
P-4-12,Porites,4,T3,Guano,Ambient,1,25,0.4185,0.4241,0.0056,0.421,0.0025,0.0775
P-5-12,Porites,5,T3,Guano,Ambient,1,25,0.4209,0.4282,0.0073,0.4251,0.0042,0.0775
P-6-12,Porites,6,T3,Guano,Ambient,1,25,0.418,0.4234,0.0054,0.4208,0.0028,0.065
P-7-12,Porites,7,T3,Guano,Ambient,1,25,0.4221,0.4261,0.004,0.4238,0.0017,0.0575
P-8-12,Porites,8,T3,Guano,Ambient,1,25,0.4197,0.428,0.0083,0.4242,0.0045,0.095
P-9-12,Porites,9,T3,Guano,Ambient,1,25,0.4144,0.4199,0.0055,0.4171,0.0027,0.07
P-1-7,Porites,1,T3,Inorganic,Ambient,1,25,0.4179,0.4227,0.0048,0.4203,0.0024,0.06
P-2-7,Porites,2,T3,Inorganic,Ambient,1,25,0.4149,0.412,-0.0029,0.4171,0.0022,-0.1275
P-3-7,Porites,3,T3,Inorganic,Ambient,1,25,0.4147,0.4214,0.0067,0.4183,0.0036,0.0775
P-4-7,Porites,4,T3,Inorganic,Ambient,1,25,0.4147,0.4189,0.0042,0.4163,0.0016,0.065
P-5-7,Porites,5,T3,Inorganic,Ambient,1,25,0.4135,0.4193,0.0058,0.4158,0.0023,0.0875
P-6-7,Porites,6,T3,Inorganic,Ambient,1,25,0.4143,0.4202,0.0059,0.4172,0.0029,0.075
P-7-7,Porites,7,T3,Inorganic,Ambient,1,25,0.4239,0.4337,0.0098,0.4283,0.0044,0.135
P-8-7,Porites,8,T3,Inorganic,Ambient,1,25,0.4229,0.4294,0.0065,0.4257,0.0028,0.0925
P-9-7,Porites,9,T3,Inorganic,Ambient,1,25,0.4244,0.4301,0.0057,0.4266,0.0022,0.0875
P-1-22,Porites,1,T3,Control,Heated,1,25,0.4269,0.4341,0.0072,0.4305,0.0036,0.09
P-2-22,Porites,2,T3,Control,Heated,1,25,0.4206,0.4275,0.0069,0.4251,0.0045,0.06
P-4-22,Porites,4,T3,Control,Heated,1,25,0.4155,0.4232,0.0077,0.4193,0.0038,0.0975
P-5-22,Porites,5,T3,Control,Heated,1,25,0.4205,0.4271,0.0066,0.4243,0.0038,0.07
P-6-22,Porites,6,T3,Control,Heated,1,25,0.4222,0.4268,0.0046,0.4246,0.0024,0.055
P-7-22,Porites,7,T3,Control,Heated,1,25,0.423,0.4296,0.0066,0.4262,0.0032,0.085
P-8-22,Porites,8,T3,Control,Heated,1,25,0.4217,0.4282,0.0065,0.4252,0.0035,0.075
P-9-22,Porites,9,T3,Control,Heated,1,25,0.42,0.4249,0.0049,0.422,0.002,0.0725
P-2-25,Porites,2,T3,Effluent,Heated,1,25,0.4236,0.4299,0.0063,0.427,0.0034,0.0725
P-4-25,Porites,4,T3,Effluent,Heated,1,25,0.4216,0.4295,0.0079,0.4259,0.0043,0.09
P-5-25,Porites,5,T3,Effluent,Heated,1,25,0.4199,0.4259,0.006,0.4225,0.0026,0.085
P-6-25,Porites,6,T3,Effluent,Heated,1,25,0.417,0.423,0.006,0.4211,0.0041,0.0475
P-7-20,Porites,7,T3,Effluent,Heated,1,25,0.4189,0.4256,0.0067,0.4227,0.0038,0.0725
P-8-25,Porites,8,T3,Effluent,Heated,1,25,0.4201,0.4235,0.0034,0.4221,0.002,0.035
P-9-25,Porites,9,T3,Effluent,Heated,1,25,0.4178,0.4214,0.0036,0.4195,0.0017,0.0475
P-1-24,Porites,1,T3,Guano,Heated,1,25,0.4263,0.4399,0.0136,0.4332,0.0069,0.1675
P-2-24,Porites,2,T3,Guano,Heated,1,25,0.4257,0.4385,0.0128,0.4327,0.007,0.145
P-4-24,Porites,4,T3,Guano,Heated,1,25,0.4261,0.4327,0.0066,0.4293,0.0032,0.085
P-5-15,Porites,5,T3,Guano,Heated,1,25,0.4191,0.4253,0.0062,0.4219,0.0028,0.085
P-6-15,Porites,6,T3,Guano,Heated,1,25,0.4249,0.4282,0.0033,0.427,0.0021,0.03
P-1-23,Porites,1,T3,Inorganic,Heated,1,25,0.4216,0.4298,0.0082,0.4263,0.0047,0.0875
P-2-23,Porites,2,T3,Inorganic,Heated,1,25,0.4159,0.4267,0.0108,0.4217,0.0058,0.125
P-3-23,Porites,3,T3,Inorganic,Heated,1,25,0.4189,0.4263,0.0074,0.4234,0.0045,0.0725
P-4-23,Porites,4,T3,Inorganic,Heated,1,25,0.4183,0.4233,0.005,0.4208,0.0025,0.0625
P-5-23,Porites,5,T3,Inorganic,Heated,1,25,0.4215,0.4281,0.0066,0.425,0.0035,0.0775
P-6-23,Porites,6,T3,Inorganic,Heated,1,25,0.422,0.4265,0.0045,0.4244,0.0024,0.0525
P-7-23,Porites,7,T3,Inorganic,Heated,1,25,0.4165,0.4249,0.0084,0.4206,0.0041,0.1075
P-8-23,Porites,8,T3,Inorganic,Heated,1,25,0.4199,0.4236,0.0037,0.422,0.0021,0.04
P-9-10,Porites,9,T3,Inorganic,Heated,1,25,0.4185,0.4254,0.0069,0.4218,0.0033,0.09
