Date,Time,Tank,Species,PAR
7/25/2023,2:00,MCAP AMB,Montipora,0
7/25/2023,2:15,MCAP AMB,Montipora,0
7/25/2023,2:30,MCAP AMB,Montipora,0
7/25/2023,2:45,MCAP AMB,Montipora,0
7/25/2023,3:00,MCAP AMB,Montipora,0
7/25/2023,3:15,MCAP AMB,Montipora,0
7/25/2023,3:30,MCAP AMB,Montipora,0
7/25/2023,3:45,MCAP AMB,Montipora,0
7/25/2023,4:00,MCAP AMB,Montipora,0
7/25/2023,4:15,MCAP AMB,Montipora,0
7/25/2023,4:30,MCAP AMB,Montipora,0
7/25/2023,4:45,MCAP AMB,Montipora,0
7/25/2023,5:00,MCAP AMB,Montipora,0
7/25/2023,5:15,MCAP AMB,Montipora,0
7/25/2023,5:30,MCAP AMB,Montipora,0
7/25/2023,5:45,MCAP AMB,Montipora,0
7/25/2023,6:00,MCAP AMB,Montipora,0.1
7/25/2023,6:15,MCAP AMB,Montipora,1.1
7/25/2023,6:30,MCAP AMB,Montipora,2.9
7/25/2023,6:45,MCAP AMB,Montipora,5.4
7/25/2023,7:00,MCAP AMB,Montipora,12.5
7/25/2023,7:15,MCAP AMB,Montipora,19.9
7/25/2023,7:30,MCAP AMB,Montipora,27.8
7/25/2023,7:45,MCAP AMB,Montipora,32.9
7/25/2023,8:00,MCAP AMB,Montipora,43.3
7/25/2023,8:15,MCAP AMB,Montipora,55.8
7/25/2023,8:30,MCAP AMB,Montipora,70.3
7/25/2023,8:45,MCAP AMB,Montipora,88.8
7/25/2023,9:00,MCAP AMB,Montipora,78.2
7/25/2023,9:15,MCAP AMB,Montipora,96.9
7/25/2023,9:30,MCAP AMB,Montipora,65.5
7/25/2023,9:45,MCAP AMB,Montipora,148.7
7/25/2023,10:00,MCAP AMB,Montipora,204
7/25/2023,10:15,MCAP AMB,Montipora,97.9
7/25/2023,10:30,MCAP AMB,Montipora,564.3
7/25/2023,10:45,MCAP AMB,Montipora,421.4
7/25/2023,11:00,MCAP AMB,Montipora,98
7/25/2023,11:15,MCAP AMB,Montipora,106.3
7/25/2023,11:30,MCAP AMB,Montipora,319.4
7/25/2023,11:45,MCAP AMB,Montipora,355.9
7/25/2023,12:00,MCAP AMB,Montipora,459.9
7/25/2023,12:15,MCAP AMB,Montipora,538.1
7/25/2023,12:30,MCAP AMB,Montipora,367.5
7/25/2023,12:45,MCAP AMB,Montipora,165
7/25/2023,13:00,MCAP AMB,Montipora,137.3
7/25/2023,13:15,MCAP AMB,Montipora,109.7
7/25/2023,13:30,MCAP AMB,Montipora,321.8
7/25/2023,13:45,MCAP AMB,Montipora,527.6
7/25/2023,14:00,MCAP AMB,Montipora,590.7
7/25/2023,14:15,MCAP AMB,Montipora,134.8
7/25/2023,14:30,MCAP AMB,Montipora,268.5
7/25/2023,14:45,MCAP AMB,Montipora,128
7/25/2023,15:00,MCAP AMB,Montipora,145.5
7/25/2023,15:15,MCAP AMB,Montipora,64.6
7/25/2023,15:30,MCAP AMB,Montipora,73.9
7/25/2023,15:45,MCAP AMB,Montipora,93.3
7/25/2023,16:00,MCAP AMB,Montipora,89.5
7/25/2023,16:15,MCAP AMB,Montipora,90.2
7/25/2023,16:30,MCAP AMB,Montipora,91.4
7/25/2023,16:45,MCAP AMB,Montipora,111.4
7/25/2023,17:00,MCAP AMB,Montipora,55.6
7/25/2023,17:15,MCAP AMB,Montipora,53.8
7/25/2023,17:30,MCAP AMB,Montipora,41.2
7/25/2023,17:45,MCAP AMB,Montipora,32.9
7/25/2023,18:00,MCAP AMB,Montipora,22.7
7/25/2023,18:15,MCAP AMB,Montipora,24.7
7/25/2023,18:30,MCAP AMB,Montipora,14.5
7/25/2023,18:45,MCAP AMB,Montipora,9.6
7/25/2023,19:00,MCAP AMB,Montipora,4.4
7/25/2023,19:15,MCAP AMB,Montipora,1.4
7/25/2023,19:30,MCAP AMB,Montipora,0.3
7/25/2023,19:45,MCAP AMB,Montipora,0
7/25/2023,20:00,MCAP AMB,Montipora,0
7/25/2023,20:15,MCAP AMB,Montipora,0
7/25/2023,20:30,MCAP AMB,Montipora,0
7/25/2023,20:45,MCAP AMB,Montipora,0
7/25/2023,21:00,MCAP AMB,Montipora,0
7/25/2023,21:15,MCAP AMB,Montipora,0
7/25/2023,21:30,MCAP AMB,Montipora,0
7/25/2023,21:45,MCAP AMB,Montipora,0
7/25/2023,22:00,MCAP AMB,Montipora,0
7/25/2023,22:15,MCAP AMB,Montipora,0
7/25/2023,22:30,MCAP AMB,Montipora,0
7/25/2023,22:45,MCAP AMB,Montipora,0
7/25/2023,23:00,MCAP AMB,Montipora,0
7/25/2023,23:15,MCAP AMB,Montipora,0
7/25/2023,23:30,MCAP AMB,Montipora,0
7/25/2023,23:45,MCAP AMB,Montipora,0
7/25/2023,0:00,MCAP AMB,Montipora,0
