Frag_ID,Species,Genotype,Timepoint,Treatment,Temperature,T-T,Chl-a 1,Chl-a 2,Chl-c2 1,Chl-c2 2,Chl1,Chl2,Total_Chl_ug.mL,SD,CV,Slurry_Vol.mL
P-4-7,Porites,4,T3,Inorganic,Ambient,I_AMB,5.069559155,5.357891549,1.631539437,1.600559155,6.701098592,6.958450704,6.829774648,0.181975424,0.026644426,25
P-5-7,Porites,5,T3,Inorganic,Ambient,I_AMB,5.038198592,5.330897183,1.471090141,1.525821127,6.509288732,6.85671831,6.683003521,0.24566981,0.036760389,25
P-6-7,Porites,6,T3,Inorganic,Ambient,I_AMB,4.084876056,4.846160563,0.906659155,1.14581831,4.991535211,5.991978873,5.491757042,0.707420498,0.128814966,25
P-7-7,Porites,7,T3,Inorganic,Ambient,I_AMB,3.831574648,4.128330986,1.077988732,1.434380282,4.90956338,5.562711268,5.236137324,0.4618453,0.088203435,25
P-8-7,Porites,8,T3,Inorganic,Ambient,I_AMB,3.427898592,3.645294366,0.986552113,1.050050704,4.414450704,4.69534507,4.554897887,0.198622311,0.043606315,25
P-9-7,Porites,9,T3,Inorganic,Ambient,I_AMB,5.719247887,6.06754507,1.792533803,1.996229577,7.51178169,8.063774648,7.787778169,0.390317964,0.050119297,25
P-1-22,Porites,1,T3,Control,Heated,C_HEAT,1.134605634,1.148566197,0.533366197,0.483490141,1.667971831,1.632056338,1.650014085,0.025396089,0.015391437,25
P-2-22,Porites,2,T3,Control,Heated,C_HEAT,1.109504225,1.098930986,0.378502817,0.487892958,1.488007042,1.586823944,1.537415493,0.069874101,0.045449068,25
P-4-22,Porites,4,T3,Control,Heated,C_HEAT,1.967522535,2.126215493,0.783857747,0.55926338,2.751380282,2.685478873,2.718429577,0.046599333,0.017142005,25
P-5-22,Porites,5,T3,Control,Heated,C_HEAT,1.920294366,2.053977465,0.348219718,0.438304225,2.268514085,2.49228169,2.380397887,0.158227591,0.066471069,25
P-7-22,Porites,7,T3,Control,Heated,C_HEAT,0.695988732,0.757240845,0.297764789,0.342688732,0.993753521,1.099929577,1.046841549,0.075077809,0.071718408,25
P-8-22,Porites,8,T3,Control,Heated,C_HEAT,2.765395775,2.947026761,0.962167606,0.984008451,3.72756338,3.931035211,3.829299296,0.143876312,0.037572491,25
P-9-22,Porites,9,T3,Control,Heated,C_HEAT,1.891459155,2.029623944,0.554294366,0.589939437,2.445753521,2.61956338,2.532658451,0.12290213,0.048526926,25
P-2-25,Porites,2,T3,Effluent,Heated,E_HEAT,1.26081831,1.321452113,0.398611268,0.402076056,1.659429577,1.723528169,1.691478873,0.045324549,0.026795811,25
P-4-25,Porites,4,T3,Effluent,Heated,E_HEAT,1.516001408,1.664919718,0.68868169,0.607305634,2.204683099,2.272225352,2.238454225,0.047759585,0.021335967,25
P-5-25,Porites,5,T3,Effluent,Heated,E_HEAT,4.255483099,4.646898592,1.056967606,1.193953521,5.312450704,5.840852113,5.576651408,0.373636219,0.067000103,25
P-6-25,Porites,6,T3,Effluent,Heated,E_HEAT,4.059776056,4.295511268,1.225153521,1.256319718,5.284929577,5.551830986,5.418380282,0.188727796,0.034831035,25
P-7-20,Porites,7,T3,Effluent,Heated,E_HEAT,1.276028169,1.416678873,0.363485916,0.4968,1.639514085,1.913478873,1.776496479,0.19372236,0.109047421,25
P-8-25,Porites,8,T3,Effluent,Heated,E_HEAT,0.344008451,0.370216901,0.18233662,0.155078873,0.52634507,0.525295775,0.525820423,0.000741964,0.00141106,25
P-9-25,Porites,9,T3,Effluent,Heated,E_HEAT,0.570805634,0.59486338,0.186046479,0.182192958,0.756852113,0.777056338,0.766954225,0.014286545,0.018627637,25
P-1-24,Porites,1,T3,Guano,Heated,G_HEAT,0.636797183,0.667101409,0.233252113,0.303152113,0.870049296,0.970253521,0.920151409,0.070855087,0.077003726,25
P-2-24,Porites,2,T3,Guano,Heated,G_HEAT,4.652088732,4.990571831,1.177157746,1.255216901,5.829246479,6.245788732,6.037517606,0.294539852,0.048784926,25
P-4-24,Porites,4,T3,Guano,Heated,G_HEAT,2.521469014,2.8773,0.736685916,0.824383099,3.25815493,3.701683099,3.479919014,0.313621776,0.090123297,25
P-5-15,Porites,5,T3,Guano,Heated,G_HEAT,2.442971831,2.636850704,0.610140845,0.6546,3.053112676,3.291450704,3.17228169,0.168530436,0.053125937,25
P-6-15,Porites,6,T3,Guano,Heated,G_HEAT,5.237383099,5.648297183,1.358602817,1.481822535,6.595985915,7.130119718,6.863052817,0.377689634,0.055032308,25
P-1-23,Porites,1,T3,Inorganic,Heated,I_HEAT,0.371646479,0.407861972,0.162198592,0.184778873,0.53384507,0.592640845,0.563242958,0.041574891,0.073813423,25
P-2-23,Porites,2,T3,Inorganic,Heated,I_HEAT,1.431360563,1.58758169,0.4164,0.499326761,1.847760563,2.086908451,1.967334507,0.169103093,0.085955435,25
P-3-23,Porites,3,T3,Inorganic,Heated,I_HEAT,0.783449296,0.8642,0.315430986,0.346588732,1.098880282,1.210788732,1.154834507,0.079131224,0.068521701,25
P-4-23,Porites,4,T3,Inorganic,Heated,I_HEAT,0.711739437,0.742597183,0.239746479,0.218585916,0.951485916,0.961183099,0.956334507,0.006856944,0.007170027,25
P-5-23,Porites,5,T3,Inorganic,Heated,I_HEAT,3.535926761,3.719077465,1.012833803,1.037978873,4.548760563,4.757056338,4.652908451,0.147287355,0.031654901,25
P-6-23,Porites,6,T3,Inorganic,Heated,I_HEAT,0.313408451,0.335135211,0.26021831,0.2874,0.573626761,0.622535211,0.598080986,0.034583497,0.057824104,25
P-7-23,Porites,7,T3,Inorganic,Heated,I_HEAT,1.488323944,1.586602817,0.439964789,0.473129578,1.928288732,2.059732394,1.994010563,0.092944705,0.046611942,25
P-8-23,Porites,8,T3,Inorganic,Heated,I_HEAT,0.063750704,0.066146479,0.074425352,0.175909859,0.138176056,0.242056338,0.190116197,0.073454452,0.386366089,25
P-9-10,Porites,9,T3,Inorganic,Heated,I_HEAT,0.775142254,0.824507042,0.261266197,0.268309859,1.036408451,1.092816901,1.064612676,0.039886798,0.037466018,25
