"","ID","Timepoint","Aquaria","Tank","Species","Treatment","Temperature","Nutrient","Concentration","Concentration_log10","Normalized","Sample"
"48",15,"T3","M-Dosing","Dosing","Montipora","Control","Ambient","N+N",1.75,0.243038048686294,0.107364685004437,"Control_T3"
"49",15,"T3","M-Dosing","Dosing","Montipora","Control","Ambient","NH4",1.84,0.264817823009536,0.0192602693028805,"Control_T3"
"50",15,"T3","M-Dosing","Dosing","Montipora","Control","Ambient","TIN",3.59,0.555094448578319,0.0362074772650724,"Control_T3"
"51",15,"T3","M-Dosing","Dosing","Montipora","Control","Ambient","N_to_P",29.9259259259259,29.9259259259259,0.665577308155873,"Control_T3"
"52",15,"T3","M-Dosing","Dosing","Montipora","Control","Ambient","DON",12.57,1.09933527768596,0.62855579868709,"Control_T3"
"53",15,"T3","M-Dosing","Dosing","Montipora","Control","Ambient","DOP",0.22,-0.657577319177794,0.174311926605505,"Control_T3"
"54",15,"T3","M-Dosing","Dosing","Montipora","Control","Ambient","DOC",92.92,1.9681092011282,0.0651600131969647,"Control_T3"
"55",16,"T3","P-Dosing","Dosing","Porites","Control","Ambient","TN",16.16,1.20844135643857,0.124870466321244,"Control_T3"
"56",16,"T3","P-Dosing","Dosing","Porites","Control","Ambient","TP",0.54,-0.267606240177031,0.0175,"Control_T3"
"57",16,"T3","P-Dosing","Dosing","Porites","Control","Ambient","PO4",0.32,-0.494850021680094,0.0116959064327485,"Control_T3"
"58",16,"T3","P-Dosing","Dosing","Porites","Control","Ambient","SiO4",6.23,0.79448804665917,0.230557087699945,"Control_T3"
"59",16,"T3","P-Dosing","Dosing","Porites","Control","Ambient","N+N",1.75,0.243038048686294,0.107364685004437,"Control_T3"
"60",16,"T3","P-Dosing","Dosing","Porites","Control","Ambient","NH4",1.84,0.264817823009536,0.0192602693028805,"Control_T3"
"61",16,"T3","P-Dosing","Dosing","Porites","Control","Ambient","TIN",3.59,0.555094448578319,0.0362074772650724,"Control_T3"
"62",16,"T3","P-Dosing","Dosing","Porites","Control","Ambient","N_to_P",29.9259259259259,29.9259259259259,0.665577308155873,"Control_T3"
"63",16,"T3","P-Dosing","Dosing","Porites","Control","Ambient","DON",12.57,1.09933527768596,0.62855579868709,"Control_T3"
"64",16,"T3","P-Dosing","Dosing","Porites","Control","Ambient","DOP",0.22,-0.657577319177794,0.174311926605505,"Control_T3"
"65",16,"T3","P-Dosing","Dosing","Porites","Control","Ambient","DOC",92.92,1.9681092011282,0.0651600131969647,"Control_T3"
"66",21,"T1","P-Dosing","Dosing","Porites","Effluent","Ambient","TN",57.63,1.76064861958136,0.841105354058722,"Effluent_T1"
"67",21,"T1","P-Dosing","Dosing","Porites","Effluent","Ambient","TP",2.98,0.474216264076255,0.220833333333333,"Effluent_T1"
"68",21,"T1","P-Dosing","Dosing","Porites","Effluent","Ambient","PO4",2.95,0.469822015978163,0.23141186299081,"Effluent_T1"
"69",21,"T1","P-Dosing","Dosing","Porites","Effluent","Ambient","SiO4",20.01,1.30124708863621,0.990623276337562,"Effluent_T1"
"70",21,"T1","P-Dosing","Dosing","Porites","Effluent","Ambient","N+N",1.38,0.139879086401236,0.0745341614906832,"Effluent_T1"
"71",21,"T1","P-Dosing","Dosing","Porites","Effluent","Ambient","NH4",51.1,1.70842090013471,0.858871655019601,"Effluent_T1"
"72",21,"T1","P-Dosing","Dosing","Porites","Effluent","Ambient","TIN",52.48,1.7199938263676,0.859548669585719,"Effluent_T1"
"73",21,"T1","P-Dosing","Dosing","Porites","Effluent","Ambient","N_to_P",19.3389261744966,19.3389261744966,0.386853245936808,"Effluent_T1"
"74",21,"T1","P-Dosing","Dosing","Porites","Effluent","Ambient","DON",5.15,0.711807229041191,0.222647702407002,"Effluent_T1"
"75",21,"T1","P-Dosing","Dosing","Porites","Effluent","Ambient","DOP",0.0299999999999998,-1.52287874528034,0,"Effluent_T1"
"76",21,"T1","P-Dosing","Dosing","Porites","Effluent","Ambient","DOC",95.3,1.97909290063833,0.10442098317387,"Effluent_T1"
"77",22,"T1","M-Dosing","Dosing","Montipora","Effluent","Ambient","TN",66.83,1.82497146112369,1,"Effluent_T1"
"78",22,"T1","M-Dosing","Dosing","Montipora","Effluent","Ambient","TP",4.84,0.684845361644412,0.375833333333333,"Effluent_T1"
"79",22,"T1","M-Dosing","Dosing","Montipora","Effluent","Ambient","PO4",4.13,0.615950051656401,0.329991645781119,"Effluent_T1"
"80",22,"T1","M-Dosing","Dosing","Montipora","Effluent","Ambient","SiO4",20.18,1.30492116190089,1,"Effluent_T1"
"81",22,"T1","M-Dosing","Dosing","Montipora","Effluent","Ambient","N+N",1.44,0.15836249209525,0.0798580301685892,"Effluent_T1"
"82",22,"T1","M-Dosing","Dosing","Montipora","Effluent","Ambient","NH4",59.38,1.77364019326003,1,"Effluent_T1"
"83",22,"T1","M-Dosing","Dosing","Montipora","Effluent","Ambient","TIN",60.82,1.78404641580811,1,"Effluent_T1"
"84",22,"T1","M-Dosing","Dosing","Montipora","Effluent","Ambient","N_to_P",13.8078512396694,13.8078512396694,0.241236573558502,"Effluent_T1"
"85",22,"T1","M-Dosing","Dosing","Montipora","Effluent","Ambient","DON",6.01,0.778874472002739,0.269693654266958,"Effluent_T1"
"86",22,"T1","M-Dosing","Dosing","Montipora","Effluent","Ambient","DOP",0.71,-0.148741651280925,0.623853211009174,"Effluent_T1"
"87",22,"T1","M-Dosing","Dosing","Montipora","Effluent","Ambient","DOC",143.09,2.15560928367892,0.89277466182778,"Effluent_T1"
"88",27,"T2","P-Dosing","Dosing","Porites","Effluent","Ambient","TN",60.81,1.78397500341267,0.896027633851468,"Effluent_T2"
"89",27,"T2","P-Dosing","Dosing","Porites","Effluent","Ambient","TP",4.69,0.671172842715083,0.363333333333333,"Effluent_T2"
